ID;Active (0/1);Name *;Categories (x,y,z...);Cost price;Description;Image URLs (x,y,z...)
1;1;Kraina Lodu Forever, Anna w stroju podróżnym, lalka;Lalki/Lalki celebrytki;60.49;Klasyczna lalka Anna dla dzieci w wieku od 3 lat Dzieci mogą odtwarzać swoje ulubione sceny z filmów Kraina Lodu dzięki klasycznej lalce Elsie. W zestawie znajdują się zdejmowane stroje inspirowane drugą częścią hitowego filmu. Lalkę można ustawiać w różnych pozach, by odgrywanie znanych i tworzenie nowych scen stało się jeszcze wspanialszą zabawą! Lalka ma 5 punktów artykulacji.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/kraina-lodu-forever-anna-w-stroju-podroznym-lalka-7067882.jpg
2;1;Disney Princess, Księżniczka Ariel, lalka;Lalki/Księżniczki i wróżki;60.99;Urocza lalka z serii Disney Princess - Ariel! Księżniczka Ariel błyszczy w swojej pięknej sukience w charakterystycznych dla niej kolorach oraz zupełnie nowym, odmienionym topie ze zdobieniami przypominającymi klejnoty. W zestawie znajduje się również opaska oraz buciki. Wiek dziecka:  od 3 lat.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/disney-princess-ksiezniczka-ariel-lalka-6875038.jpg
3;1;Disney Princess, Księżniczka Kopciuszek, lalka;Lalki/Księżniczki i wróżki;59.99;Urocza lalka z serii Disney Princess - Kopciuszek! Kopciuszek błyszczy w swojej pięknej sukience w charakterystycznych dla niej kolorach oraz zupełnie nowym, odmienionym topie ze zdobieniami przypominającymi klejnoty. W zestawie znajduje się również opaska oraz buciki. Wiek dziecka:  od 3 lat.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/disney-princess-ksiezniczka-kopciuszek-lalka-6958292.jpg
4;1;Kraina Lodu, Elsa, Królewska przemiana, lalka;Lalki/Księżniczki i wróżki;118.99;Przeżyj ponownie magiczną chwilę, w której Elsa zostaje Królową Lodu! Unieś rękę Elsy i zobacz, jak jej sukienka koronacyjna znika, a na jej miejsce pojawia się kreacja mroźnej królowej. Kiedy zechcesz powtórzyć przemianę, możesz to zrobić - wystarczy, że pociągniesz suknię koronacyjną z tyłu i zresetujesz przemianę. Powtarzalna zabawa, która nigdy się nie kończy, zapewnia dzieciom stałą rozrywkę. W zestawie znajduje się również tiara oraz peleryna - załóż Elsie akcesoria, aby dopełnić jej wygląd. Wiek dziecka:  od 3 lat  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/kraina-lodu-elsa-krolewska-przemiana-lalka-7097020.jpg
5;1;Kraina Lodu, Królowa Anna, lalka;Lalki/Księżniczki i wróżki;60.49;Poczuj moc wolności z Królową Anną i rozpocznij zabawę! Lalka ma uformowany gorset oraz nosi zdejmowaną spódnicę inspirowaną filmową królewską kreacją. 5 ruchomych elementów - ustaw lalkę tak, jak tylko chcesz, i odgrywaj niesamowite filmowe sceny oraz wymyślaj własne, niepowtarzalne historie. Wiek dziecka:  od 3 lat.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/kraina-lodu-krolowa-anna-lalka-7097019.jpg
6;1;Artyk, Natalia, Wróżka w rożku, mini laleczka, 12 cm;Lalki/Księżniczki i wróżki;17.49;Mini laleczka od marki Artyk z serii Natalia. Wróżka w rożku. Wymiary:  12 cm.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/artyk-natalia-wrozka-w-rozku-mini-laleczka-12-cm-7094556.jpg
7;1;Księżniczki Disneya, Śnieżka, lalka;Lalki/Księżniczki i wróżki;60.49;Lalka Królewna Śnieżka błyszczy w swojej pięknej sukience w charakterystycznych dla niej kolorach oraz zupełnie nowym, odmienionym topie ze zdobieniami przypominającymi klejnoty. W zestawie znajduje się również opaska oraz buciki. Wiek dziecka:  od 3 lat  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/ksiezniczki-disneya-sniezka-lalka-6085051.jpg
8;1;Mega Creative, księżniczka Nella, lalka, 12 cm;Lalki/Mini lalki i zwierzaki;16.99;Każda mała dziewczynka w swojej kolekcji zabawek musi posiadać lalkę. Lalka Nella Mega Creative to idealne rozwiązanie na spędzenie wspólnego czasu ze swoją pociechą Zabawka wykonana z plastiku, materiału, sztucznego włosia oraz tworzywa sztucznego. Przeznaczona dla dzieci w wieku 3. Nie wymaga zasilania bateriami. Wymiary produktu 12 cm. Dostępne różne rodzaje. Uwaga! Produkt wysyłany losowo.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/mega-creative-ksiezniczka-nella-lalka-12-cm-7362290.jpg
9;1;BigToys, lalka w sukni balowej, księżniczka, długi warkocz;Lalki/Księżniczki i wróżki;28.49;Lalka 29 cm w modnej stylizacji (tiulowa suknia z koronką).   Dziewczyna ma na twarzy wyraźnie zaznaczony makijaż.   Dostępne są również kolczyki.   Włosy zostały upięte w długi, kolorowy warkocz.   Laleczka jest przegubowa.   Zabawkę zapakowano w pudełko, które automatycznie przyciąga uwagę dziewczynek.  Produkt występuje w różnych wariantach.  Wymiary opakowania:  14x5x31,5 cm.  Wiek:  3+. Uwaga:  produkt wysyłany losowo!  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/bigtoys-lalka-w-sukni-balowej-ksiezniczka-dlugi-warkocz-7369261.jpg
10;1;Barbie, Przyczepa kempingowa Chelsea, zestaw z lalką i akcesoriami;Lalki/Lalki celebrytki;94.99;Dzięki zestawowi do zabawy Klub Chelsea z przyczepą kempingową i lalką dzieci mogą w każdej chwili wyruszyć ku przygodzie - zestaw przekształca się w obozowisko, a dołączone elementy do zabawy, w tym szczeniaczek, inspirują wyobraźnię! Przymocuj przyczepę do samochodu, umieść lalkę Chelsea w fotelu kierowcy i popchnij auto, aby ruszyć w drogę! Jeśli chcesz pojeździć samym kabrioletem lub rozbić obóz, wystarczy odłączyć przyczepę. Odczep haczyk i otwórz ją, aby odsłonić przytulne wnętrze! Dzięki elementom do zabawy możesz stworzyć odpowiedni klimat do śpiewania piosenek i snucia opowieści przy ognisku - ustaw palenisko, wyjmij 2 kijki z piankami i łap za gitarę. Łóżko piętrowe z drabinką zapewnia spokojny sen nawet w drodze. Kuchnia ma pełne wyposażenie:  zlew, kuchenkę, lodówkę z otwieranymi drzwiami, w której można schować dwa kubki znajdujące się w zestawie, ręcznik do zawieszenia przy blacie oraz garnuszek ze specjalnym zaczepem do przymocowania na palniku kuchenki. Są też drzwiczki dla psów, aby szczeniaczek mógł z łatwością wchodzić i wychodzić! Podczas krótkich wycieczek autem otwierany bagażnik pomieści walizkę i inne potrzebne rzeczy. Wiek dziecka:  od 3 lat.  ;https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-przyczepa-kempingowa-chelsea-zestaw-z-lalka-i-akcesoriami-6503680.jpg
