name,brand,price,url,image_url
"Rainbow High, Gabriella Icely, lalka modowa",Rainbow High,"109,99",/p/rainbow-high-gabriella-icely-lalka-modowa-i7030595,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-gabriella-icely-lalka-modowa-7030595.jpg
"Barbie Dreamtopia, Księżniczka, Zakręcone Pasemka, lalka",Barbie Dreamtopia,"74,99",/p/barbie-dreamtopia-ksiezniczka-zakrecone-pasemka-lalka-i7013917,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-dreamtopia-ksiezniczka-zakrecone-pasemka-lalka-7013917.jpg
"Rainbow High, Emi Vanda Orchid, lalka modowa",Rainbow High,"109,99",/p/rainbow-high-emi-vanda-orchid-lalka-modowa-i7030596,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-emi-vanda-orchid-lalka-modowa-7030596.jpg
"Barbie, Przyczepa kempingowa Chelsea, zestaw z lalką i akcesoriami",Barbie,"94,99",/p/barbie-przyczepa-kempingowa-chelsea-zestaw-z-lalka-i-akcesoriami-i6503680,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-przyczepa-kempingowa-chelsea-zestaw-z-lalka-i-akcesoriami-6503680.jpg
"Rainbow High, Violet Willow, lalka modowa",Rainbow High,"139,99",/p/rainbow-high-violet-willow-lalka-modowa-i6736224,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-violet-willow-lalka-modowa-6736224.jpg
"Barbie, Chelsea i autko, zestaw z lalką i akcesoriami",Barbie,"49,99",/p/barbie-chelsea-i-autko-zestaw-z-lalka-i-akcesoriami-i6995405,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-chelsea-i-autko-zestaw-z-lalka-i-akcesoriami-6995405.jpg
"Rainbow High, Cheer Doll, Ruby Anderson, lalka modowa",Rainbow High,"79,99",/p/rainbow-high-cheer-doll-ruby-anderson-lalka-modowa-i6867762,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-cheer-doll-ruby-anderson-lalka-modowa-6867762.jpg
"Barbie, Baśniowa fryzura, lalka z akcesoriami",Barbie,"79,99",/p/barbie-basniowa-fryzura-lalka-z-akcesoriami-i6730218,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-basniowa-fryzura-lalka-z-akcesoriami-6730218.jpg
"Rainbow High, Cheer Doll, Jade Hunter, lalka modowa",Rainbow High,"79,99",/p/rainbow-high-cheer-doll-jade-hunter-lalka-modowa-i6867765,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-cheer-doll-jade-hunter-lalka-modowa-6867765.jpg
"Barbie, Kariera, Tenisistka, lalka podstawowa",Barbie,"25,99",/p/barbie-kariera-tenisistka-lalka-podstawowa-i7345017,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-kariera-tenisistka-lalka-podstawowa-7345017.jpg
"Barbie, Lodowa magia, lalka księżniczka ze specjalną funkcją",Barbie,"79,99",/p/barbie-lodowa-magia-lalka-ksiezniczka-ze-specjalna-funkcja-i6609410,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-lodowa-magia-lalka-ksiezniczka-ze-specjalna-funkcja-6609410.jpg
"Barbie, Cutie Reveal, lalka jednorożec z akcesoriami, seria 2",Barbie,"129,99",/p/barbie-cutie-reveal-lalka-jednorozec-z-akcesoriami-seria-2-i7232673,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-cutie-reveal-lalka-jednorozec-z-akcesoriami-seria-2-7232673.jpg
"Rainbow High, Core Fashion Doll, Jewel Richie, lalka modowa",Rainbow High,"109,99",/p/rainbow-high-core-fashion-doll-jewel-richie-lalka-modowa-i7232600,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-core-fashion-doll-jewel-richie-lalka-modowa-7232600.png
"Barbie, Cutie Reveal, lalka panda z akcesoriami",Barbie,"119,99",/p/barbie-cutie-reveal-lalka-panda-z-akcesoriami-i7124890,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/barbie-cutie-reveal-lalka-panda-z-akcesoriami-7124890.jpg
"Rainbow High, Fashion Doll, Delilah Fields, lalka modowa",Rainbow High,"119,99",/p/rainbow-high-fashion-doll-delilah-fields-lalka-modowa-i7208077,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-fashion-doll-delilah-fields-lalka-modowa-7208077.png
"Rainbow High, Fashion Doll, Mila Berrymore, lalka modowa",Rainbow High,"99,99",/p/rainbow-high-fashion-doll-mila-berrymore-lalka-modowa-i7208078,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-fashion-doll-mila-berrymore-lalka-modowa-7208078.png
"Rainbow High, Core Fashion Doll, Lila Tamamoto, lalka modowa",Rainbow High,"109,99",/p/rainbow-high-core-fashion-doll-lila-tamamoto-lalka-modowa-i7232599,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-core-fashion-doll-lila-tamamoto-lalka-modowa-7232599.png
"Rainbow High, Skyler Bradshaw, lalka modowa",Rainbow High,"119,99",/p/rainbow-high-skyler-bradshaw-lalka-modowa-i6736228,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-skyler-bradshaw-lalka-modowa-6736228.jpg
"L.O.L. Surprise, Tweens, Nia Regal, lalka modowa",L.O.L. Surprise,"74,99",/p/lol-surprise-tweens-nia-regal-lalka-modowa-i7295592,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-nia-regal-lalka-modowa-7295592.jpg
"L.O.L. Surprise, Tweens, Emma Emo, lalka modowa",L.O.L. Surprise,"84,99",/p/lol-surprise-tweens-emma-emo-lalka-modowa-i7295591,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/lol-surprise-tweens-emma-emo-lalka-modowa-7295591.jpg
"Rainbow High, Junior High, Skyler Bradshaw, lalka modowa",Rainbow High,"96,99",/p/rainbow-high-junior-high-skyler-bradshaw-lalka-modowa-i7128295,https://img.smyk.com/https://beta-cdn.smyk.com/media/product/390/1/rainbow-high-junior-high-skyler-bradshaw-lalka-modowa-7128295.jpg
